scenario,inference_runtime,inference_idealized_runtime,inference_runtime_discrepancy,num_prompt_tokens,num_perplexity_tokens,num_output_tokens,finish_reason_length,finish_reason_stop,finish_reason_endoftext,finish_reason_unknown,exact_match
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,random=1234,model=ai21_j1-jumbo",1.362501884,1.125,0.2375018835,512,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,random=1234,model=ai21_j1-jumbo",1.925837207,1.267,0.6588372068,1024,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,random=1234,model=ai21_j1-grande",1.288212562,,,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=1,random=1234,model=ai21_j1-large",0.9061259508,0.133,0.7731259508,1536,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,random=1234,model=ai21_j1-jumbo",0.770751214,0.229,0.541751214,512,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,random=1234,model=ai21_j1-jumbo",1.067397428,0.134,0.9333974276,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,random=1234,model=ai21_j1-jumbo",0.9708136559,0.371,0.5998136559,1024,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,random=1234,model=ai21_j1-grande",3.776281285,,,1024,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,random=1234,model=ai21_j1-grande",1.036931634,,,512,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,random=1234,model=ai21_j1-grande",1.954370618,,,512,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,random=1234,model=ai21_j1-grande",2.375953054,,,1024,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,random=1234,model=ai21_j1-grande",1.790709972,,,512,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,random=1234,model=ai21_j1-jumbo",0.391243434,0.07,0.321243434,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,random=1234,model=ai21_j1-large",0.7177965164,0.161,0.5567965164,1024,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,random=1234,model=ai21_j1-jumbo",3.085439658,4.102,-1.016560342,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,random=1234,model=ai21_j1-jumbo",2.715713024,2.291,0.4247130241,1024,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,random=1234,model=ai21_j1-jumbo",3.522455454,4.339,-0.8165445461,1024,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,random=1234,model=ai21_j1-large",0.7565111876,0.407,0.3495111876,512,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,random=1234,model=ai21_j1-jumbo",0.919059515,1.03,-0.110940485,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,random=1234,model=ai21_j1-jumbo",1.904784036,2.149,-0.2442159643,512,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,random=1234,model=ai21_j1-large",0.5318886042,0.047,0.4848886042,512,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,random=1234,model=ai21_j1-jumbo",1.284399199,0.755,0.5293991995,1024,8,8,1,0,0,0,0
